carat,cut,depth,table
1.29,Premium,61.7,59.0
1.19,Premium,61.3,59.0
1.07,Premium,63.0,57.0
1.22,Premium,59.0,61.0
1.22,Premium,62.2,57.0
1.22,Premium,62.1,59.0
1.22,Premium,60.2,56.0
1.05,Premium,62.7,59.0
1.05,Premium,59.0,59.0
1.02,Premium,62.1,59.0
1.0,Premium,60.8,60.0
1.2,Premium,62.1,59.0
1.01,Fair,66.6,55.0
1.1,Premium,60.7,59.0
1.18,Premium,62.6,59.0
1.16,Premium,60.2,59.0
1.31,Premium,62.5,55.0
1.11,Premium,60.1,61.0
1.02,Premium,62.9,55.0
1.0,Fair,67.6,57.0
1.0,Fair,63.7,55.0
1.06,Premium,62.0,61.0
1.06,Premium,60.8,58.0
1.12,Fair,64.8,56.0
1.38,Premium,58.3,59.0
1.08,Premium,61.0,59.0
1.3,Fair,66.0,57.1
1.0,Premium,61.3,54.0
1.0,Premium,59.5,60.0
1.0,Premium,62.1,58.0
1.0,Premium,61.5,60.0
1.0,Premium,62.1,61.0
1.21,Premium,60.0,60.0
1.03,Premium,61.8,57.0
1.07,Premium,62.4,59.0
1.25,Premium,62.0,58.0
1.0,Premium,61.6,59.0
1.01,Fair,65.5,62.0
1.21,Premium,62.2,59.0
1.04,Premium,61.5,59.0
1.23,Premium,61.9,55.0
1.19,Premium,58.8,58.0
1.46,Fair,64.6,54.0
1.26,Premium,60.9,58.0
1.02,Premium,62.7,58.0
1.15,Premium,62.0,58.0
0.39,Fair,65.6,60.0
0.35,Premium,61.5,58.0
0.32,Premium,62.2,58.0
0.32,Premium,59.5,60.0
1.2,Premium,60.7,59.0
1.2,Premium,62.4,57.0
1.23,Premium,62.7,58.0
1.2,Premium,61.1,58.0
1.01,Premium,61.1,58.0
1.01,Premium,62.8,59.0
1.27,Premium,62.6,59.0
1.46,Premium,62.4,59.0
1.06,Premium,60.7,59.0
1.23,Premium,61.7,58.0
1.03,Premium,62.5,59.0
1.03,Premium,62.0,59.0
1.35,Fair,65.2,56.0
1.01,Premium,60.7,58.0
1.21,Premium,60.3,58.0
1.21,Premium,61.7,60.0
1.01,Premium,58.9,58.0
1.52,Fair,64.9,59.0
1.22,Premium,60.2,58.0
1.06,Premium,58.4,61.0
0.9,Premium,59.4,59.0
1.5,Premium,62.1,57.0
1.01,Fair,64.5,57.0
1.01,Premium,58.1,59.0
1.21,Premium,61.2,59.0
1.21,Premium,60.2,57.0
1.01,Premium,61.6,60.0
1.01,Premium,61.7,62.0
1.01,Premium,61.8,60.0
1.06,Premium,62.5,58.0
1.01,Premium,60.0,60.0
1.01,Premium,62.9,59.0
1.01,Premium,62.6,58.0
1.01,Premium,59.8,59.0
1.0,Premium,60.3,62.0
1.0,Premium,61.9,60.0
1.0,Premium,61.9,60.0
1.0,Premium,60.7,59.0
1.0,Premium,62.6,60.0
1.1,Premium,59.6,58.0
1.35,Premium,60.9,59.0
1.31,Premium,59.4,60.0
1.27,Premium,62.3,56.0
1.12,Premium,58.8,61.0
1.14,Premium,62.3,59.0
1.06,Premium,62.5,58.0
1.11,Premium,62.4,58.0
1.06,Premium,61.2,57.1
0.9,Fair,58.1,59.0
1.2,Premium,62.0,58.0
1.2,Premium,62.6,57.0
1.96,Fair,66.6,60.0
1.16,Premium,61.2,57.0
1.16,Premium,61.2,58.0
1.24,Premium,60.4,58.0
1.21,Premium,62.3,59.0
1.21,Premium,59.5,62.0
1.21,Premium,59.5,60.0
1.21,Premium,60.6,56.0
1.05,Premium,61.8,56.0
1.05,Premium,60.3,60.0
1.05,Premium,61.6,57.0
1.01,Premium,60.6,58.0
1.07,Premium,59.6,58.0
1.04,Premium,61.2,59.0
1.3,Premium,61.0,59.0
1.3,Premium,61.9,56.0
1.02,Premium,58.5,57.0
1.02,Premium,62.1,59.0
1.13,Premium,62.8,59.0
1.0,Premium,59.4,61.0
1.21,Premium,60.8,60.0
1.07,Premium,62.4,57.0
1.0,Premium,62.0,60.0
1.03,Premium,61.0,58.0
1.05,Premium,60.9,60.0
1.06,Premium,60.4,62.0
1.03,Premium,60.1,60.0
1.02,Premium,62.0,57.0
1.13,Premium,60.6,60.0
1.08,Premium,59.6,59.0
1.24,Premium,62.8,60.0
1.27,Premium,60.9,59.0
1.32,Premium,61.3,59.0
1.2,Premium,62.4,59.0
1.02,Premium,62.9,58.0
1.19,Premium,61.4,58.0
1.01,Premium,62.6,58.0
1.01,Premium,60.7,58.0
1.01,Premium,62.9,58.0
1.01,Premium,62.8,57.0
1.01,Premium,61.9,56.0
1.01,Premium,62.8,59.0
1.01,Premium,62.9,60.0
1.13,Premium,60.9,58.0
1.0,Premium,61.6,59.0
1.09,Premium,62.6,56.0
1.22,Premium,61.3,58.0
0.27,Premium,60.2,59.0
0.27,Premium,61.5,58.0
0.27,Premium,62.0,57.0
0.3,Premium,60.9,58.0
0.41,Premium,59.0,58.0
1.22,Premium,62.7,58.0
1.1,Premium,58.8,61.0
1.0,Premium,59.9,60.0
1.0,Premium,61.9,59.0
1.25,Premium,61.8,55.0
2.22,Fair,66.7,56.0
1.01,Premium,62.5,58.0
1.04,Premium,62.2,56.0
1.31,Premium,63.0,58.0
1.7,Fair,64.7,56.0
1.18,Premium,61.8,58.0
1.27,Premium,62.6,59.0
1.52,Premium,60.4,59.0
1.27,Premium,58.9,59.0
1.01,Premium,62.5,60.0
1.28,Premium,62.5,58.0
1.12,Premium,61.1,58.0
1.01,Premium,59.8,61.0
1.04,Premium,62.5,60.0
1.23,Premium,61.7,58.0
1.19,Premium,61.2,60.0
1.19,Fair,64.4,58.0
1.64,Premium,63.0,58.0
1.03,Premium,62.5,59.0
1.03,Premium,62.0,59.0
1.03,Fair,65.1,58.0
1.35,Fair,64.5,58.0
1.01,Fair,62.6,57.0
1.09,Premium,62.5,59.0
1.26,Premium,61.0,55.0
1.01,Premium,59.3,59.0
1.23,Premium,61.6,58.0
1.04,Fair,64.9,58.0
1.25,Premium,62.2,58.0
1.09,Premium,62.5,57.0
1.23,Premium,62.5,58.0
1.38,Premium,60.2,60.0
1.06,Premium,58.5,60.0
1.22,Premium,61.8,58.0
1.01,Premium,61.5,61.0
1.5,Fair,65.5,58.0
1.05,Premium,62.6,59.0
1.0,Premium,62.0,62.0
1.0,Premium,61.9,60.0
1.0,Premium,60.3,60.0
1.2,Premium,62.6,61.0
1.01,Premium,61.0,59.0
1.23,Premium,62.1,61.0
1.23,Premium,59.6,60.0
1.22,Premium,62.9,58.0
1.14,Premium,62.3,59.0
1.13,Premium,61.4,61.0
1.13,Premium,62.0,57.0
1.04,Premium,62.8,57.0
1.1,Premium,61.4,58.0
1.03,Premium,63.0,59.0
1.23,Premium,61.6,58.0
1.02,Premium,59.2,56.0
1.01,Premium,62.2,53.0
1.01,Premium,59.2,60.0
1.05,Premium,60.5,60.0
1.07,Premium,59.6,58.0
1.29,Premium,61.1,58.0
1.19,Premium,62.1,59.0
1.01,Fair,67.8,59.0
1.02,Premium,62.8,59.0
1.02,Premium,61.0,58.0
2.0,Fair,66.0,60.0
1.2,Premium,61.8,58.0
1.22,Premium,62.1,58.0
1.22,Premium,60.7,59.0
1.3,Premium,62.9,60.0
1.05,Fair,65.5,57.0
1.1,Premium,61.3,58.0
1.04,Premium,60.4,59.0
1.21,Premium,60.8,60.0
1.09,Premium,61.4,58.0
1.09,Premium,59.7,58.0
1.09,Premium,60.0,56.0
1.2,Premium,62.6,59.0
1.02,Fair,65.7,58.0
1.51,Premium,61.2,62.0
1.02,Premium,60.1,60.0
1.02,Premium,61.8,59.0
1.2,Premium,60.2,60.0
1.27,Premium,62.3,56.0
1.27,Premium,60.9,59.0
1.24,Premium,59.9,60.0
1.24,Premium,61.2,57.0
1.23,Premium,61.7,57.0
1.18,Premium,61.8,58.0
2.01,Fair,67.4,58.0
2.01,Fair,55.9,64.0
1.19,Premium,60.8,59.0
1.19,Premium,62.7,61.0
1.2,Premium,62.6,58.0
1.2,Premium,62.6,58.0
1.2,Premium,61.8,55.0
1.2,Premium,61.9,59.0
1.14,Premium,61.3,59.0
1.01,Premium,61.2,57.0
1.01,Premium,61.1,60.0
1.01,Premium,61.6,62.0
1.16,Premium,62.8,57.0
1.02,Premium,63.0,60.0
1.07,Premium,61.9,58.0
1.09,Premium,59.5,58.0
0.36,Premium,62.4,58.0
0.32,Premium,62.7,58.0
0.31,Premium,58.8,62.0
0.31,Premium,61.2,59.0
0.31,Premium,62.7,58.0
0.3,Premium,61.1,59.0
0.3,Premium,61.4,60.0
0.3,Premium,61.8,59.0
1.04,Premium,61.5,58.0
0.91,Premium,63.0,56.0
1.03,Premium,62.9,56.0
1.2,Premium,62.6,59.0
1.2,Premium,62.9,57.0
1.01,Premium,58.9,60.0
1.01,Premium,62.6,56.0
1.35,Premium,61.1,61.0
1.35,Premium,59.8,59.0
1.1,Premium,59.5,59.0
1.23,Premium,60.3,58.0
1.23,Premium,62.0,57.0
1.23,Premium,62.0,59.0
1.2,Premium,62.4,58.0
1.0,Premium,60.6,59.0
1.21,Premium,61.1,61.0
1.03,Premium,61.8,58.0
1.31,Premium,62.1,58.0
1.4,Premium,60.6,58.0
1.46,Fair,56.3,60.0
1.0,Premium,59.2,62.0
1.0,Premium,62.2,58.0
1.04,Premium,62.5,60.0
1.13,Premium,61.7,56.0
1.0,Fair,67.0,54.0
0.93,Premium,62.3,59.0
1.1,Premium,62.5,58.0
2.27,Fair,67.6,55.0
1.22,Premium,60.5,58.0
1.21,Premium,61.9,58.0
1.22,Premium,61.9,58.0
1.22,Premium,62.3,60.0
1.25,Premium,62.4,58.0
1.25,Premium,61.2,62.0
1.25,Premium,62.2,58.0
1.25,Premium,61.6,54.0
1.01,Premium,63.0,58.0
1.24,Premium,62.2,58.0
1.01,Premium,62.8,58.0
1.03,Premium,61.2,58.0
1.31,Premium,59.1,59.0
1.31,Premium,60.5,59.0
1.21,Premium,59.9,62.0
1.2,Premium,62.2,58.0
1.2,Premium,62.1,55.0
1.2,Premium,62.7,56.0
1.19,Premium,59.9,61.0
1.01,Premium,61.0,59.0
1.51,Fair,65.1,57.0
1.11,Premium,62.4,58.0
1.17,Premium,62.5,57.0
1.3,Premium,61.5,59.0
1.34,Premium,60.3,59.0
1.08,Premium,62.6,56.0
1.35,Premium,61.5,58.0
1.01,Premium,60.2,59.0
1.01,Premium,61.2,58.0
1.31,Premium,61.9,56.0
1.31,Premium,62.8,57.0
1.21,Premium,61.6,56.0
1.27,Premium,60.1,58.0
1.05,Premium,60.5,60.0
1.07,Premium,62.5,56.0
1.33,Premium,62.3,59.0
1.04,Premium,59.6,59.0
1.51,Premium,60.7,59.0
1.23,Premium,61.2,57.0
1.13,Fair,65.3,59.0
1.22,Premium,62.2,58.0
1.1,Premium,62.9,58.0
1.03,Premium,62.6,58.0
1.0,Premium,60.3,59.0
1.0,Premium,62.5,59.0
1.0,Premium,61.4,58.0
1.08,Premium,62.9,55.0
1.24,Premium,58.5,60.0
1.04,Premium,60.4,59.0
1.34,Premium,62.6,58.0
1.13,Premium,62.4,58.0
1.2,Premium,61.4,58.0
1.2,Premium,60.4,58.0
1.01,Premium,60.0,59.0
1.01,Premium,61.2,60.0
1.11,Premium,62.6,58.0
1.16,Premium,60.5,59.0
1.06,Premium,62.6,58.0
1.06,Premium,62.0,58.0
1.01,Fair,65.1,59.0
1.23,Premium,62.2,58.0
1.01,Premium,62.4,59.0
1.3,Premium,61.6,58.0
1.03,Premium,59.5,60.0
1.21,Premium,62.8,59.0
1.22,Premium,62.5,57.0
1.01,Fair,59.1,68.0
1.09,Premium,61.6,58.0
1.35,Premium,62.4,58.0
1.32,Premium,60.4,58.0
1.18,Premium,61.8,58.0
1.51,Fair,65.1,59.0
1.14,Premium,60.0,55.0
1.19,Premium,62.7,56.0
1.11,Premium,61.3,58.0
1.1,Premium,61.2,58.0
1.0,Premium,63.0,59.0
1.0,Premium,62.9,56.0
1.0,Premium,62.1,57.0
1.14,Premium,62.0,62.0
1.14,Premium,60.5,59.0
1.06,Premium,62.3,59.0
1.07,Premium,61.7,56.0
1.03,Premium,62.2,56.0
1.29,Premium,60.5,58.0
0.3,Premium,60.0,60.0
0.3,Premium,60.7,58.0
0.3,Premium,61.4,60.0
0.3,Premium,62.2,58.0
0.3,Premium,62.4,58.0
0.3,Premium,62.2,60.0
1.06,Premium,59.4,57.0
1.08,Premium,58.6,60.0
1.05,Premium,61.9,59.0
1.05,Premium,58.6,60.0
1.05,Premium,61.8,56.0
1.1,Premium,59.5,59.0
1.2,Premium,59.3,60.0
1.2,Premium,60.8,60.0
1.2,Premium,62.2,59.0
1.3,Premium,62.7,58.0
1.01,Premium,62.1,62.0
1.03,Premium,63.0,59.0
1.17,Premium,58.5,62.0
1.27,Premium,58.9,61.0
1.22,Premium,62.3,59.0
1.31,Premium,60.4,59.0
1.33,Premium,62.4,58.0
1.0,Fair,65.3,56.0
1.08,Premium,61.3,57.0
1.01,Premium,62.1,60.0
1.0,Fair,64.9,56.0
1.23,Premium,59.9,58.0
1.12,Premium,62.1,58.0
1.5,Fair,64.5,59.0
1.2,Premium,62.4,58.0
1.2,Premium,62.3,59.0
1.2,Premium,62.6,58.0
1.03,Premium,61.2,58.0
1.15,Premium,62.2,56.0
1.15,Premium,62.6,58.0
1.0,Fair,58.7,67.0
1.01,Premium,59.1,56.0
1.36,Premium,62.7,58.0
1.14,Premium,61.3,59.0
1.81,Fair,68.0,57.0
1.09,Premium,60.2,59.0
1.01,Premium,61.5,59.0
1.01,Premium,60.7,61.0
1.01,Premium,61.2,58.0
1.01,Premium,63.0,56.0
1.01,Premium,61.9,59.0
1.01,Premium,61.6,61.0
1.01,Premium,61.5,56.0
1.0,Premium,62.8,55.0
1.0,Premium,59.9,59.0
1.01,Premium,60.7,60.0
1.01,Premium,62.1,59.0
1.01,Premium,60.2,59.0
1.2,Premium,62.5,60.0
1.31,Premium,63.0,57.0
1.21,Premium,62.5,60.0
1.07,Premium,61.8,61.0
1.31,Premium,59.6,59.0
1.28,Premium,59.4,60.0
1.0,Premium,61.3,61.0
1.0,Premium,59.6,57.0
1.0,Premium,60.3,59.0
1.0,Premium,62.5,59.0
1.0,Premium,61.4,58.0
1.01,Fair,65.3,59.0
1.04,Premium,59.5,60.0
1.01,Premium,59.3,59.0
1.04,Premium,59.7,59.0
1.01,Premium,59.5,60.0
1.03,Premium,62.4,60.0
1.13,Premium,60.6,58.0
1.13,Premium,62.4,58.0
1.05,Premium,60.1,57.0
1.0,Premium,61.0,59.0
1.09,Premium,59.9,56.0
1.06,Premium,62.0,58.0
1.21,Premium,62.2,60.0
1.24,Premium,60.1,59.0
1.06,Premium,62.6,58.0
1.24,Premium,62.1,55.0
1.24,Premium,61.4,58.0
1.02,Premium,62.3,59.0
1.21,Premium,61.3,59.0
0.99,Premium,62.6,55.0
1.04,Premium,61.2,59.0
1.01,Premium,61.7,59.0
1.2,Premium,62.4,59.0
1.26,Premium,59.1,59.0
1.25,Premium,61.9,58.0
1.03,Premium,61.3,61.0
1.11,Premium,61.3,58.0
1.08,Premium,59.6,60.0
1.0,Fair,64.4,56.0
1.22,Premium,61.7,59.0
1.38,Premium,59.0,59.0
1.0,Premium,61.4,59.0
2.0,Fair,69.8,54.0
1.65,Fair,61.6,66.0
1.5,Premium,60.3,61.0
1.52,Fair,65.8,57.0
1.02,Premium,60.6,59.0
1.35,Premium,62.3,59.0
1.51,Fair,66.9,57.0
1.51,Fair,65.4,56.0
1.21,Premium,61.7,59.0
1.32,Premium,58.4,60.0
1.18,Premium,62.1,58.0
1.01,Premium,59.7,60.0
1.29,Premium,60.1,58.0
1.14,Premium,61.1,59.0
1.14,Premium,59.6,58.0
1.25,Premium,62.2,57.0
1.05,Premium,62.5,55.0
1.05,Premium,60.5,56.0
1.23,Premium,62.5,58.0
0.3,Premium,61.3,58.0
0.3,Premium,61.8,60.0
0.3,Premium,61.9,59.0
0.3,Premium,61.5,58.0
0.3,Premium,62.5,58.0
0.3,Premium,62.0,58.0
0.3,Premium,61.4,60.0
1.22,Premium,62.7,58.0
1.14,Premium,61.7,60.0
1.5,Premium,60.2,59.0
1.01,Premium,62.3,60.0
1.01,Premium,61.6,58.0
1.01,Premium,62.8,60.0
1.0,Premium,61.6,58.0
1.0,Premium,62.9,55.0
1.06,Premium,61.2,57.0
1.22,Premium,61.4,62.0
1.01,Premium,62.1,60.0
1.01,Premium,59.0,61.0
1.01,Premium,61.8,59.0
1.25,Premium,63.0,62.0
1.2,Premium,61.4,60.0
1.2,Premium,61.5,61.0
1.21,Premium,62.5,58.0
1.28,Premium,61.9,56.0
1.25,Premium,62.1,58.0
1.25,Premium,60.4,59.0
1.01,Fair,65.1,56.0
1.3,Premium,61.5,58.0
1.05,Premium,62.5,59.0
1.09,Premium,60.2,61.0
1.12,Premium,62.1,58.0
1.02,Premium,61.4,58.0
1.1,Premium,62.2,59.0
1.32,Premium,61.3,58.0
1.21,Premium,62.3,58.0
1.36,Premium,62.7,58.0
1.01,Premium,61.5,61.0
1.07,Premium,59.6,58.0
1.0,Premium,61.5,58.0
1.0,Premium,60.0,59.0
1.0,Premium,63.0,59.0
1.24,Premium,59.1,59.0
1.24,Premium,58.9,59.0
1.01,Premium,60.0,59.0
1.07,Premium,61.6,60.0
1.25,Premium,61.0,59.0
1.2,Premium,62.9,59.0
1.2,Premium,62.9,55.0
1.02,Premium,62.6,59.0
1.23,Premium,59.3,58.0
0.94,Premium,62.3,58.0
1.21,Premium,59.0,60.0
1.06,Premium,58.9,61.0
1.26,Premium,61.0,59.0
1.14,Premium,60.2,58.0
1.01,Premium,62.1,60.0
1.01,Premium,62.7,58.0
1.2,Premium,62.8,57.0
1.09,Premium,62.3,57.0
1.82,Fair,67.3,58.0
1.29,Premium,62.0,58.0
1.22,Premium,62.4,58.0
1.21,Premium,62.2,60.0
1.26,Premium,58.6,59.0
1.02,Premium,62.5,59.0
1.02,Premium,62.7,61.0
1.02,Premium,62.3,59.0
1.02,Premium,60.6,59.0
1.01,Premium,62.4,58.0
1.0,Premium,60.9,60.0
1.21,Premium,61.3,59.0
2.03,Fair,64.4,59.0
2.03,Fair,66.6,57.0
1.13,Premium,58.9,58.0
1.0,Premium,60.6,59.0
1.5,Fair,64.9,58.0
1.73,Fair,65.9,58.0
1.59,Premium,62.3,58.0
1.22,Premium,61.5,58.0
1.22,Premium,61.1,58.0
1.36,Premium,59.3,58.0
1.2,Premium,62.8,56.0
1.07,Premium,60.1,60.0
1.26,Premium,62.4,58.0
1.21,Premium,59.5,58.0
1.2,Premium,63.0,58.0
1.01,Premium,61.6,58.0
1.01,Premium,59.1,58.0
1.21,Premium,60.9,58.0
1.57,Premium,59.6,56.0
1.1,Premium,60.3,57.0
1.02,Premium,60.3,60.0
1.14,Premium,61.1,59.0
1.14,Premium,59.6,58.0
1.0,Premium,60.3,59.0
1.0,Premium,58.7,62.0
1.23,Premium,61.2,58.0
1.51,Premium,61.9,58.0
1.07,Premium,62.2,58.0
1.15,Premium,61.7,58.0
1.01,Fair,69.0,61.0
1.22,Premium,59.3,59.0
1.22,Premium,62.0,60.0
1.0,Premium,62.1,58.0
1.0,Premium,60.6,60.0
1.0,Premium,61.3,62.0
1.2,Premium,62.4,57.0
1.0,Premium,63.0,58.0
1.0,Premium,62.0,57.0
1.0,Premium,59.3,60.0
1.0,Premium,58.6,61.0
1.5,Premium,61.0,60.0
1.0,Premium,62.2,58.0
1.0,Premium,61.6,58.0
0.3,Premium,62.2,59.0
0.3,Premium,61.9,59.0
0.3,Premium,60.4,58.0
0.3,Premium,61.5,60.0
0.3,Premium,60.8,60.0
0.3,Premium,61.6,58.0
1.12,Premium,60.6,59.0
1.2,Premium,59.9,58.0
1.21,Premium,61.2,60.0
1.03,Premium,61.2,54.0
1.02,Premium,62.7,58.0
1.32,Fair,64.8,58.0
1.21,Premium,58.8,58.0
1.01,Premium,62.6,58.0
1.01,Premium,62.0,60.0
1.26,Premium,62.0,58.0
1.05,Premium,61.8,58.0
1.21,Premium,61.9,60.0
1.03,Premium,62.5,59.0
1.01,Premium,61.8,58.0
1.07,Premium,61.4,56.0
1.33,Fair,63.0,62.0
1.19,Premium,61.3,58.0
1.01,Fair,65.2,57.0
1.25,Premium,61.0,59.0
1.26,Premium,62.9,59.0
1.52,Premium,62.6,60.0
1.43,Fair,66.0,57.0
1.02,Premium,62.6,59.0
1.31,Premium,60.0,57.0
1.03,Premium,59.5,60.0
1.21,Premium,59.0,60.0
1.35,Premium,60.5,62.0
1.28,Premium,62.6,55.0
1.28,Premium,60.2,58.0
1.14,Premium,60.2,58.0
1.31,Premium,59.6,58.0
1.05,Premium,63.0,57.0
1.0,Premium,60.9,60.0
1.01,Premium,59.9,61.0
1.01,Premium,61.1,59.0
1.01,Premium,62.0,59.0
1.01,Premium,63.0,58.0
1.01,Premium,62.4,58.0
1.01,Premium,62.7,58.0
1.01,Premium,62.1,60.0
1.21,Premium,61.7,56.0
1.21,Premium,58.8,60.0
1.1,Premium,60.7,55.0
1.01,Premium,59.2,56.0
1.01,Premium,60.6,61.0
1.01,Premium,62.9,58.0
1.01,Premium,58.5,61.0
1.01,Premium,62.4,58.0
1.01,Premium,62.0,59.0
1.01,Premium,61.6,60.0
1.47,Fair,65.9,59.0
1.01,Premium,62.1,54.0
1.01,Premium,61.5,60.0
1.01,Premium,59.2,59.0
1.07,Premium,60.2,55.0
1.0,Premium,62.0,62.0
1.0,Premium,59.2,60.0
1.0,Fair,64.8,61.0
1.0,Fair,65.0,59.0
1.12,Premium,61.6,58.0
1.04,Premium,59.9,56.0
1.0,Premium,60.6,59.0
1.27,Premium,62.6,59.0
1.29,Premium,61.1,59.0
1.22,Premium,61.5,58.0
1.22,Premium,62.5,55.0
1.1,Premium,59.6,60.0
1.22,Premium,61.1,58.0
1.04,Premium,60.0,58.0
1.04,Premium,62.2,58.0
1.07,Premium,63.0,57.0
1.24,Premium,62.6,59.0
1.24,Premium,61.4,62.0
1.53,Premium,60.1,59.0
1.52,Fair,64.9,58.0
1.2,Premium,58.9,60.0
1.2,Premium,61.0,58.0
1.2,Premium,61.2,57.0
1.2,Premium,62.9,56.0
1.2,Premium,62.1,58.0
1.5,Premium,61.5,58.0
1.0,Premium,62.3,60.0
1.5,Premium,62.9,57.0
1.16,Premium,62.5,58.0
1.31,Premium,60.7,58.0
1.29,Premium,62.1,57.0
1.29,Premium,62.1,58.0
1.29,Premium,62.2,58.0
1.29,Premium,62.0,59.0
1.14,Premium,61.9,58.0
1.24,Premium,58.9,58.0
1.05,Premium,61.8,58.0
1.03,Premium,62.1,57.0
1.03,Premium,62.3,57.0
1.4,Premium,62.4,57.0
1.96,Fair,66.8,55.0
1.22,Premium,60.6,58.0
2.08,Premium,61.7,57.0
1.23,Premium,58.5,62.0
1.22,Premium,62.4,58.0
1.09,Premium,60.6,62.0
1.0,Premium,62.5,54.0
1.22,Premium,59.3,59.0
1.51,Fair,66.0,57.0
1.36,Premium,58.4,59.0
1.01,Premium,60.7,60.0
1.18,Premium,61.6,59.0
1.0,Premium,61.9,58.0
1.01,Premium,62.4,59.0
1.17,Premium,62.4,57.0
1.28,Premium,60.0,60.0
1.28,Premium,62.0,57.0
1.01,Premium,63.0,58.0
0.3,Premium,59.6,59.0
0.3,Premium,62.5,58.0
0.3,Premium,60.6,60.0
0.35,Premium,62.5,58.0
1.02,Premium,62.7,58.0
1.02,Premium,59.2,59.0
1.02,Premium,62.1,59.0
1.02,Premium,60.5,54.0
1.02,Premium,59.8,58.0
1.32,Premium,62.3,58.0
1.32,Premium,62.2,58.0
1.23,Premium,62.4,60.0
1.51,Premium,61.3,55.0
1.05,Premium,59.3,58.0
1.38,Premium,60.2,59.0
1.01,Fair,65.6,61.0
1.01,Premium,62.6,58.0
1.01,Premium,62.0,60.0
1.04,Premium,62.5,58.0
1.21,Premium,61.8,58.0
1.05,Premium,62.8,58.0
1.37,Premium,62.8,57.0
1.05,Premium,61.8,58.0
1.2,Premium,61.4,58.0
1.53,Premium,62.8,58.0
1.03,Premium,62.5,59.0
1.22,Premium,62.7,59.0
1.3,Premium,58.1,59.0
1.54,Premium,60.9,61.0
1.58,Premium,59.1,59.0
1.19,Premium,62.6,56.0
1.23,Premium,59.3,59.0
1.54,Premium,59.3,59.0
1.16,Premium,62.3,56.0
1.04,Premium,62.3,54.0
1.23,Premium,61.1,60.0
1.0,Premium,62.8,57.0
1.0,Premium,61.6,55.0
1.1,Premium,60.0,59.0
1.0,Premium,62.9,56.0
1.5,Fair,68.1,59.0
1.28,Premium,62.1,62.0
1.0,Fair,64.9,52.0
1.07,Premium,61.9,60.0
1.03,Premium,62.3,59.0
1.52,Premium,62.2,59.0
1.24,Premium,60.1,58.0
1.02,Premium,61.9,62.0
1.48,Premium,59.7,59.0
1.0,Premium,61.6,54.0
1.22,Premium,60.3,59.0
1.02,Premium,62.7,59.0
1.01,Premium,62.7,58.0
1.32,Fair,65.2,58.0
1.21,Premium,61.5,58.0
1.47,Premium,60.0,58.0
1.5,Premium,61.8,60.0
1.03,Premium,58.9,59.0
1.25,Premium,62.2,60.0
1.07,Premium,62.5,57.0
1.31,Premium,62.3,56.0
1.31,Premium,61.4,60.0
1.28,Premium,62.6,58.0
1.22,Premium,61.5,58.0
1.02,Premium,62.0,59.0
1.02,Premium,61.4,59.0
1.01,Premium,59.9,59.0
1.01,Premium,62.3,58.0
1.01,Premium,61.5,58.0
1.3,Premium,62.7,58.0
1.2,Premium,60.7,60.0
1.2,Premium,62.4,58.0
1.2,Premium,59.9,59.0
1.5,Premium,61.1,59.0
1.5,Fair,64.6,59.0
1.35,Premium,60.5,56.0
1.14,Premium,61.9,58.0
1.14,Premium,58.9,59.0
1.33,Premium,61.0,60.0
1.24,Premium,60.2,58.0
1.37,Premium,62.4,58.0
1.3,Premium,61.1,58.0
1.21,Premium,60.0,60.0
1.21,Premium,63.0,57.0
1.51,Premium,60.0,60.0
1.0,Fair,57.4,58.0
1.01,Fair,59.1,56.0
1.01,Premium,62.4,56.0
1.01,Premium,58.9,58.0
1.01,Premium,62.7,58.0
1.01,Premium,62.3,58.0
1.01,Premium,61.3,61.0
1.01,Fair,61.1,60.0
1.01,Premium,61.6,59.0
1.01,Premium,62.5,58.0
1.01,Premium,60.4,59.0
1.0,Premium,62.8,62.0
1.0,Premium,61.6,58.0
1.6,Fair,65.0,56.0
1.0,Premium,60.1,57.0
1.0,Premium,59.9,59.0
1.07,Premium,62.4,57.0
1.54,Premium,61.5,61.0
1.04,Premium,59.6,62.0
1.04,Premium,59.1,60.0
1.29,Premium,62.2,57.0
1.2,Premium,60.8,60.0
1.32,Premium,62.2,58.0
1.1,Premium,60.5,60.0
1.0,Fair,57.3,64.0
1.22,Premium,62.3,58.0
2.49,Fair,66.3,58.0
1.04,Premium,62.5,58.0
0.36,Premium,59.3,59.0
0.36,Premium,62.4,58.0
0.36,Premium,60.8,58.0
0.36,Premium,61.9,56.0
0.3,Premium,61.1,59.0
1.0,Premium,62.4,62.0
1.04,Premium,62.6,56.0
1.0,Premium,62.3,58.0
1.23,Premium,61.4,59.0
1.51,Fair,65.4,60.0
1.51,Fair,64.5,59.0
1.06,Premium,60.4,58.0
1.0,Premium,62.9,59.0
1.0,Premium,62.2,57.0
1.25,Premium,60.4,59.0
1.25,Premium,61.2,58.0
1.5,Premium,61.7,62.0
1.02,Premium,62.5,58.0
1.0,Premium,61.2,61.0
1.56,Premium,61.4,58.0
1.03,Premium,62.4,58.0
1.83,Premium,62.0,58.0
2.01,Fair,70.2,57.0
1.33,Premium,62.5,61.0
1.24,Premium,59.3,60.0
1.69,Premium,62.4,60.0
1.14,Premium,60.4,58.0
1.29,Premium,60.4,58.0
1.31,Premium,61.9,59.0
1.06,Premium,60.1,58.0
